number;name;address;position;banking;bonus;status;Contract Name;Bike Stands;Available Bike Stands;Available Bikes;Last Update
9;009_PLAZA_TETUAN_4;Plaza de Tetuán;39.4743231103546, -0.370021082654504;False;False;OPEN;valence;25;14;11;2026-03-07T12:58:47+01:00
17004;17004 - SAINT-FONS - GARE;21, avenue Diderot 69190 Saint Fons;45.706374, 4.852492;False;False;OPEN;lyon;15;10;5;2026-03-07T12:58:04+01:00
10037;10037 - DUPEUBLE / 8 MAI 1945;"40 RUE MICHEL DUPEUBLE
69100 VILLEURBANNE";45.7760883668417, 4.89227468095863;False;False;OPEN;lyon;15;11;1;2026-03-07T12:58:12+01:00
17;環水公園西　CANAL PARK WEST;牛島本町2丁目1-38　2-1-38 Ushijimahonncho;36.709021, 137.21056;False;False;OPEN;toyama;18;16;2;2026-03-07T12:57:55+01:00
5001;05001 - MÉTRO RAMONVILLE;Avenue Flora Tristan - Métro Ramonville;43.55563, 1.476132;True;False;OPEN;toulouse;16;15;0;2026-03-07T12:57:40+01:00
9053;9053 - ROSA PARKS;"27 AVENUE ROSA PARKS
69009 lyon";45.7866144625086, 4.79010128725966;False;False;OPEN;lyon;15;7;3;2026-03-07T12:59:25+01:00
278;278 - STADE / STADION;Av. Houba de Strooper 510 / Houba de Strooperlaan 510;50.893923, 4.332117;False;False;OPEN;Bruxelles-Capitale;25;13;12;2026-03-07T12:58:10+01:00
158;158 - VAN YSENDYCK;Av. Voltaire / Voltairelaan 6;50.867955, 4.379577;False;False;OPEN;Bruxelles-Capitale;24;17;7;2026-03-07T12:59:28+01:00
3;GOSPOSVETSKA C. - III. GIMNAZIJA;Gosposvetska cesta 4;46.560761, 15.64053;False;False;OPEN;maribor;20;18;2;2026-03-07T12:59:11+01:00
66;KOSEŠKI BAJER;Koseška cesta;46.068443, 14.470913;False;False;OPEN;ljubljana;20;19;1;2026-03-07T12:59:07+01:00
5053;5053 - SAINT-JUST;1 PLACE DE L'ABBE LARUE;45.75597, 4.818904;False;False;OPEN;lyon;18;16;2;2026-03-07T12:57:43+01:00
251;251_AVDA. CRUZ CAMPO;Esquina con Alejandro Collantes;37.38454975, -5.965343976;False;False;OPEN;seville;15;10;5;2026-03-07T12:58:04+01:00
220;220_AVENIDA ALCALDE LUIS URUÑUELA;AVENIDA ALCALDE LUIS URUÑUELA - Aprox. Centro Comercial Zona Este;37.40499435, -5.9358102;False;False;OPEN;seville;30;19;11;2026-03-07T12:58:11+01:00
36;ST. STEPHEN'S GREEN EAST;St. Stephen's Green East;53.337636, -6.256218;False;False;OPEN;dublin;40;23;17;2026-03-07T12:59:07+01:00
3;STADSPARKEN NORR;;55.7013726686025, 13.1856563687325;True;False;OPEN;lund;20;11;9;2026-03-07T12:57:56+01:00
165;165_PAVIA 2;Pavía - Espadán;39.4713771150833, -0.324660945171817;False;False;OPEN;valence;20;12;7;2026-03-07T12:58:54+01:00
